scientific_name,class,redlist status,url
Epinephelus rivulatus,Actinopterygii,NT,http://speciesstatus.sanbi.org/assessment/last-assessment/1396
Gracila albomarginata,Actinopterygii,VU,http://speciesstatus.sanbi.org/assessment/last-assessment/1402
Sphyraena barracuda,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1247
Sphyraena jello,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1246
Xiphias gladius,Actinopterygii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1284
Platycephalus indicus,Actinopterygii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1278
Galeichthys ater,Actinopterygii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1387
Galeichthys feliceps,Actinopterygii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1388
Carcharhinus brachyurus,Elasmobranchii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1370
Carcharhinus leucas,Elasmobranchii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1425
Carcharhinus limbatus,Elasmobranchii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1424
Carcharhinus obscurus,Elasmobranchii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1420
Prionace glauca,Elasmobranchii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1292
Rhizoprionodon acutus,Elasmobranchii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1260
Poroderma africanum,Elasmobranchii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1429
Poroderma pantherinum,Elasmobranchii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1428
Sphyrna lewini,Elasmobranchii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1445
Sphyrna zygaena,Elasmobranchii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1436
Galeorhinus galeus,Elasmobranchii,EN,http://speciesstatus.sanbi.org/assessment/last-assessment/1444
Mustelus mustelus,Elasmobranchii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1294
Triakis megalopterus,Elasmobranchii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1241
Notorynchus cepedianus,Elasmobranchii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1309
Carcharodon carcharias,Elasmobranchii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1438
Isurus oxyrinchus,Elasmobranchii,VU,http://speciesstatus.sanbi.org/assessment/last-assessment/1366
Carcharias taurus,Elasmobranchii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1423
Himantura alcockii,Elasmobranchii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1326
Himantura leoparda,Elasmobranchii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1272
Gymnura natalensis,Elasmobranchii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1337
Myliobatis aquila,Elasmobranchii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1342
Rhinobatos annulatus,Elasmobranchii,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1290
Rhynchobatus djiddensis,Elasmobranchii,DD,http://speciesstatus.sanbi.org/assessment/last-assessment/1254
Callorhinchus capensis,Holocephali,LC,http://speciesstatus.sanbi.org/assessment/last-assessment/1383
