"Title","Access Date","Authors","DOI","Issue","Place Published","Publisher","Secondary Authors","Subsidiary Authors","Tertiary Authors","Type of Publication","Type of Work","Volume","Year of Publication","Pagination","Secondary Title","Nid"
"Alella pagelli (Krøyer, 1863) in World of Copepods database","","T.C. Walter; G. Boxshall","","","","","T.C. Walter; G. Boxshall","T.C. Walter; G. Boxshall","T.C. Walter; G. Boxshall","Website","","","2014","","","226"
"Site influence in parasite distribution from fishes of the Bonifacio Strait Marine Reserve (Corsica Island, Mediterranean Sea)","","S. Ternengo; C. Levron; D. Mouillot; B. Marchand","","","","","S. Ternengo; C. Levron; D. Mouillot; B. Marchand","S. Ternengo; C. Levron; D. Mouillot; B. Marchand","S. Ternengo; C. Levron; D. Mouillot; B. Marchand","Journal Article","","104","2009","1279–1287","Parasitology research","225"
"Alella gibbosa, a new species of Lernaeopodidae(Copepoda), from St. Lucia Estuary, South Africa","","J.P. Van Niekerk; P.A.S. Olivier","","","","","J.P. Van Niekerk; P.A.S. Olivier","J.P. Van Niekerk; P.A.S. Olivier","J.P. Van Niekerk; P.A.S. Olivier","Journal Article","","91","1995","41–44","South African Journal of Science","223"
"Studies on the Copepod Fish Parasites of Kerala Coast","","N.K.S. Pillai","","","","","N.K.S. Pillai","N.K.S. Pillai","N.K.S. Pillai","Thesis","","Doctor of Philosophy","1984","302","Department of Industrial fisheries - University of Cochin","221"
"Tergestia pauca Texeira de Freitas & Kohn, 1965","","D. Gibson","","","","","D. Gibson","D. Gibson","D. Gibson","Web project page","","","2014","","","219"
"Checklist of Copepoda associated with fishes from Brazil","","J.L. Luque; L.E.R. Tavares","","","","","J.L. Luque; L.E.R. Tavares","J.L. Luque; L.E.R. Tavares","J.L. Luque; L.E.R. Tavares","Journal Article","","1579","2007","1–39","Zootaxa","218"
"Parasites of coral reef fish: how much do we know? With a bibliography of fish parasites in New Caledonia","","J.L. Justine","","","","","J.L. Justine","J.L. Justine","J.L. Justine","Journal Article","","140","2010","","Belgian Journal of Zoology","217"
"Some helminth parasites of marine fishes and cephalopods of South Africa: Aspidogastrea and the digenean families Bucephalidae, Haplosplanchnidae, Mesometridae and Fellodistomidae","","R.A. Bray","","","","","R.A. Bray","R.A. Bray","R.A. Bray","Journal Article","","18","1984","271–292","Journal of Natural History","216"
"Parasitic copepods from some northern Indian Ocean elasmobranchs","","A.C. Henderson; A.J. Reeve; D. Tang","","","","","A.C. Henderson; A.J. Reeve; D. Tang","A.C. Henderson; A.J. Reeve; D. Tang","A.C. Henderson; A.J. Reeve; D. Tang","Journal Article","","6","2013","e44","Marine Biodiversity Records","215"
"South African Parasitic Copepoda","","K.H. Barnard","","","","","K.H. Barnard","K.H. Barnard","K.H. Barnard","Journal Article","","41","1955","","Annals of the South African Museeum","214"
"Parasitic copepods reported from Mexico","","N.E.P.T.A.L.Í. Morales-Serna; S. Gomez; G.E.R.A.R.D.O.P.É.R.E.Z.P.O.N. De Leon","","","","","N.E.P.T.A.L.Í. Morales-Serna; S. Gomez; G.E.R.A.R.D.O.P.É.R.E.Z.P.O.N. De Leon","N.E.P.T.A.L.Í. Morales-Serna; S. Gomez; G.E.R.A.R.D.O.P.É.R.E.Z.P.O.N. De Leon","N.E.P.T.A.L.Í. Morales-Serna; S. Gomez; G.E.R.A.R.D.O.P.É.R.E.Z.P.O.N. De Leon","Journal Article","","3234","2012","43–68","Zootaxa","211"
"A checklist of parasites of California, Oregon, and Washington marine and estuarine fishes","","M.S. Love; M. Moser","","","","","M.S. Love; M. Moser","M.S. Love; M. Moser","M.S. Love; M. Moser","Journal Article","","","1983","","","210"
"Reported siphonostomatoid copepods parasitic on marine fishes of southern Africa","","S.M. Dippenaar","","","","","S.M. Dippenaar","S.M. Dippenaar","S.M. Dippenaar","Journal Article","","77","2004","1281–1328","Crustaceana","209"
"Five species of parasitic copepods (Siphonostomatoida: Pandaridae) from the body surface of a white shark captured in Morro Bay, California","","G.W. Benz; H.F. Mollet; D.A. Ebert; C.R. Davis; S.R. Van Sommeran","","","","","G.W. Benz; H.F. Mollet; D.A. Ebert; C.R. Davis; S.R. Van Sommeran","G.W. Benz; H.F. Mollet; D.A. Ebert; C.R. Davis; S.R. Van Sommeran","G.W. Benz; H.F. Mollet; D.A. Ebert; C.R. Davis; S.R. Van Sommeran","Journal Article","","57","2003","39–43","Pacific science","208"
"Early life-history implications of selected carcharhinoid and lamnoid sharks of the northwest Atlantic","","S. Bransletter","","","","NOAA ","S. Bransletter","S. Bransletter","S. Bransletter","Report","Technical Report","","1990","17-28","","205"
"Sphyrnidae. Hammerhead and bonnethead sharks","","L.J.V. Compagno","","","Rome","FAO","L.J.V. Compagno","L.J.V. Compagno","L.J.V. Compagno","Book Chapter","","","1998","1361-1366","FAO identification guide for fishery purposes. The Living Marine Resources of the Western Central Pacific","204"
" Evolutionary transitions among egg-laying, live-bearing and maternal inputs in sharks and rays","","N.K. Dulvy; J.D. Reynolds","","","","","N.K. Dulvy; J.D. Reynolds","N.K. Dulvy; J.D. Reynolds","N.K. Dulvy; J.D. Reynolds","Conference Proceedings","","264","1997","1309-1315","Proc. R. Soc. Lond., Ser. B: Biol. Sci","203"
"Biology of three hammerhead sharks (Eusphyra blochii, Sphyrna mokarran and S. lewini) from northern Australia","","J.D. Stevens; J.M. Lyle","","2","","","J.D. Stevens; J.M. Lyle","J.D. Stevens; J.M. Lyle","J.D. Stevens; J.M. Lyle","Journal Article","","40","1989","129-146","Marine and Freshwater Research","202"
"Sharks caught in the protective gill nets off KwaZulu-Natal, South Africa. 11. The scalloped hammerhead shark Sphyrna lewini (Griffith and Smith)","","P. de Bryun; S.F.J. Dudley; G. Cliff; M.J. Smale","","3","","","P. de Bryun; S.F.J. Dudley; G. Cliff; M.J. Smale","P. de Bryun; S.F.J. Dudley; G. Cliff; M.J. Smale","P. de Bryun; S.F.J. Dudley; G. Cliff; M.J. Smale","Journal Article","","27","2005","517-528","African Journal of Marine Science","201"
"Status of the South African Marine Fishery Resources 2012","","C. van der Lingen; S. Pillar; J. Coetzee; K. Prochazka","","","","Cape Town: Department of Agriculture, Forestry and Fisheries.","C. van der Lingen; S. Pillar; J. Coetzee; K. Prochazka","C. van der Lingen; S. Pillar; J. Coetzee; K. Prochazka","C. van der Lingen; S. Pillar; J. Coetzee; K. Prochazka","Government Report","","","2012","","","199"
"A field guide to the sharks of the world","","L.J.V. Compagno; D. Dando; S. Fowler","","","London","Harper Collins Publishing Ltd","L.J.V. Compagno; D. Dando; S. Fowler","L.J.V. Compagno; D. Dando; S. Fowler","L.J.V. Compagno; D. Dando; S. Fowler","Book","","","2005","368","","198"
"Biology of the Soupfin Galeorhinus Zyopterus and Biochemical Studies of the Liver","","W.E. Ripley","","","","","W.E. Ripley","W.E. Ripley","W.E. Ripley","Report","","","1946","","","197"
"Australian fisheries resources","","P.J. Kailola; P.C. Williams; R.E. Stewart; A. Reichlt; A. McNee; C. Grieve","","","","","P.J. Kailola; P.C. Williams; R.E. Stewart; A. Reichlt; A. McNee; C. Grieve","P.J. Kailola; P.C. Williams; R.E. Stewart; A. Reichlt; A. McNee; C. Grieve","P.J. Kailola; P.C. Williams; R.E. Stewart; A. Reichlt; A. McNee; C. Grieve","Book Chapter","","","1993","422","Bureau of Resource Sciences, Canberra, Australia","196"
"Elasmobranch exploitation in Africa","","M. Kroese; W.H.H. Sauer","","7","","","M. Kroese; W.H.H. Sauer","M. Kroese; W.H.H. Sauer","M. Kroese; W.H.H. Sauer","Journal Article","","49","1998","573-577","Marine and Freshwater Research","195"
"F.A.O. species catalogue 4 Sharks of the world. An annotated and illustrated catalogue of shark species known to date. (1) Hexanchiformes to Lamniformes","","L.J.V. Compagno","","1249","","","L.J.V. Compagno","L.J.V. Compagno","L.J.V. Compagno","Government Report","","125","1984","","","194"
"Australian species of Nerocila Leach, 1818, and Creniola n. gen. (Isopoda: Cymothoidae), crustacean parasites of marine fishes","","N.L. Bruce","","","","","N.L. Bruce","N.L. Bruce","N.L. Bruce","Journal Article","","39","1987","355-412","Records of the Australian Museum ","192"
"Guide to the Marine Isopods of Southern Africa","","B. Kensely","","","Cape Town","South African Museum & The Rustica Press","B. Kensely","B. Kensely","B. Kensely","Book","","","1978","173","","191"
"Review of Mothocya Costa, in Hope, 1851 (Crustacea: Isopoda: Cymothoidae) from southern Africa, with the description of a new species.","","K.A. Hadfield; N.L. Bruce; N.J. Smit","","","","","K.A. Hadfield; N.L. Bruce; N.J. Smit","K.A. Hadfield; N.L. Bruce; N.J. Smit","K.A. Hadfield; N.L. Bruce; N.J. Smit","Journal Article","","","In Press","","African Zoology","189"
"Review of the fish parasitic genus Ceratothoa Dana, 1852 (Crustacea, Isopoda, Cymothoidae) from South Africa, including the description of two new species","","K. Hadfield; N. Bruce; N. Smit","10.3897/zookeys.400.6878","","","","K. Hadfield; N. Bruce; N. Smit","K. Hadfield; N. Bruce; N. Smit","K. Hadfield; N. Bruce; N. Smit","Journal Article","","400","2014","1–42","ZooKeys","186"
"History and status of oyster exploitation and culture in South Africa, and the role of oysters as vectors for marine alien species","","T. Haupt","","","","University of Cape Town","T. Haupt","T. Haupt","T. Haupt","Thesis","phdMSc","","2009","1–95","","183"
"Genetic similarity between Boccardia proboscidea from Western North America and cultured abalone, Haliotis midae, in South Africa","","C.A. Simon; D.J. Thornhill; F. Oyarzun; K.M. Halanych","10.1016/j.aquaculture.2009.05.022","","","","C.A. Simon; D.J. Thornhill; F. Oyarzun; K.M. Halanych","C.A. Simon; D.J. Thornhill; F. Oyarzun; K.M. Halanych","C.A. Simon; D.J. Thornhill; F. Oyarzun; K.M. Halanych","Journal Article","","294","2009","18–24","Aquaculture","179"
"2,4-Decadienal: Exploring a novel approach for the control of polychaete pests on cultured abalone","","C.A. Simon; M.G. Bentley; G.S. Caldwell","10.1016/j.aquaculture.2010.10.031","","","","C.A. Simon; M.G. Bentley; G.S. Caldwell","C.A. Simon; M.G. Bentley; G.S. Caldwell","C.A. Simon; M.G. Bentley; G.S. Caldwell","Journal Article","","310","2010","52–60","Aquaculture","178"
"The genus Boccardia (Polychaeta: Spionidae) associated with mollusc shells on the south coast of South Africa","","C.A. Simon; T.M. Worsfold; L. Lange; J. Sterley","10.1017/S0025315409990452","","","","C.A. Simon; T.M. Worsfold; L. Lange; J. Sterley","C.A. Simon; T.M. Worsfold; L. Lange; J. Sterley","C.A. Simon; T.M. Worsfold; L. Lange; J. Sterley","Journal Article","","90","2010","585–598","Journal of the Marine Biological Association of the United Kingdom","177"
"Phylogeography and reproductive variation of the poecilogonous polychaete Boccardia proboscidea (Annelida: Spionidae) along the West Coast of North America","","F.X. Oyarzun; A.R. Mahon; B.J. Swalla; K.M. Halanych","10.1111/j.1525-142X.2011.00506.x","","","","F.X. Oyarzun; A.R. Mahon; B.J. Swalla; K.M. Halanych","F.X. Oyarzun; A.R. Mahon; B.J. Swalla; K.M. Halanych","F.X. Oyarzun; A.R. Mahon; B.J. Swalla; K.M. Halanych","Journal Article","","13","2011","489–503","Evolution and Development","176"
"Intertidal biogenic reefs built by the polychaete Boccardia proboscidea in sewage-impacted areas of Argentina, SW Atlantic","","M.L. Jaubet; delos Ángel Sánchez; M.S. Rivero; G.V. Garaffo; E.A. Vallarino; R. Elias","10.1111/j.1439-0485.2010.00415.x","","","","M.L. Jaubet; delos Ángel Sánchez; M.S. Rivero; G.V. Garaffo; E.A. Vallarino; R. Elias","M.L. Jaubet; delos Ángel Sánchez; M.S. Rivero; G.V. Garaffo; E.A. Vallarino; R. Elias","M.L. Jaubet; delos Ángel Sánchez; M.S. Rivero; G.V. Garaffo; E.A. Vallarino; R. Elias","Journal Article","","32","2011","188–197","Marine Ecology","175"
"Molecular and morphological evidence of a single species, Boccardia proboscidea (Polychaeta: Spionidae), with multiple development modes","","G. Gibson; I.G. Paterson; H. Taylor; B. Woolridge","10.1007/s002270050591","","","","G. Gibson; I.G. Paterson; H. Taylor; B. Woolridge","G. Gibson; I.G. Paterson; H. Taylor; B. Woolridge","G. Gibson; I.G. Paterson; H. Taylor; B. Woolridge","Journal Article","","134","1999","743–751","Marine Biology","174"
"Predation patterns of demersal teleosts from the south and west coasts of South Africa","","M. Meyer; M.J. Smale","","","","","M. Meyer; M.J. Smale","M. Meyer; M.J. Smale","M. Meyer; M.J. Smale","Journal Article","","11","1991","","South African Journal of Marine Science","172"
"On the life history of the lesser gurnard (Scorpaeniformes: Triglidae) inhabiting the Agulhas Bank, South Africa","","A.J. Booth","","","","","A.J. Booth","A.J. Booth","A.J. Booth","Journal Article","","51","1997","","Journal of Fish Biology","171"
"FAO species identification field guide for fishery purposes. The living marine resources of Namibia","","G. Bianchi; K.E. Carpenter; J.P. Roux; F.J. Molloy; D. Boyer; H.J. Boyer","http://dx.doi.org/ ","","Rome","FAO","G. Bianchi; K.E. Carpenter; J.P. Roux; F.J. Molloy; D. Boyer; H.J. Boyer","G. Bianchi; K.E. Carpenter; J.P. Roux; F.J. Molloy; D. Boyer; H.J. Boyer","G. Bianchi; K.E. Carpenter; J.P. Roux; F.J. Molloy; D. Boyer; H.J. Boyer","Book","","","1999","250","","170"
"Smiths Sea Fishes","","J.L.B. Smith; P. Heemstra","","","Cape Town","Struik Publishers","J.L.B. Smith; P. Heemstra","J.L.B. Smith; P. Heemstra","J.L.B. Smith; P. Heemstra","Book","","","2003","1047","","169"
"Streaked gurnard (Trigloporus lastoviza), Fishes of the NE Atlantic and the Mediterranean","","J.C. Hureau","","","","","J.C. Hureau","J.C. Hureau","J.C. Hureau","Web project page","","","2015","","","166"
"Smiths Sea Fishes","","J.L.B. Smith; P. Heemstra","","","Cape Town","Struik Publishers","J.L.B. Smith; P. Heemstra","J.L.B. Smith; P. Heemstra","J.L.B. Smith; P. Heemstra","Book","","","2003","1047","","162"
"A guide to the marine animals of the Cape Peninsula","","G. Jones","","","Cape Town","Southern Underwater Research Group","G. Jones","G. Jones","G. Jones","Book","","","2008","271","","161"
"Fishes of the Mascarene Islands (Réunion, Mauritius, Rodriguez): an annotated checklist, with descriptions of new species","","R. Fricke","http://dx.doi.org/ ","","Koenigstein","Koeltz Scientific Books","R. Fricke","R. Fricke","R. Fricke","Book","","31","1999","759","Theses Zoologicae","160"
"Western pea crabs Pinnixa occidentalis Rathbun 1894 (Brachyura: Thoracotremata: Pinnotheroidea) invade Saldanha Bay, South Africa","","B. Clark; C.L. Griffiths","10.2989/1814232X.2012.675128","","","","B. Clark; C.L. Griffiths","B. Clark; C.L. Griffiths","B. Clark; C.L. Griffiths","Journal Article","","34","2012","153–156","African Journal of Marine Science","157"
"First record of an epibiosis between the sand crab Emerita analoga (Stimpson, 1857) (Decapoda: Hippidae) and the mussel Semimytilus algosus (Gould, 1850) (Bivalvia, Mytilidae) in southern Peru","","M.J. Villegas; W. Stotz; J. Laudien","10.1007/s10152-005-0012-5","","","","M.J. Villegas; W. Stotz; J. Laudien","M.J. Villegas; W. Stotz; J. Laudien","M.J. Villegas; W. Stotz; J. Laudien","Journal Article","","60","2005","25–31","Helgoland Marine Research","153"
"Human-mediated drivers of change — impacts on coastal ecosystems and marine biota of South Africa","","A. Mead; C.L. Griffiths; G.M. Branch; C.D. McQuaid; L.K. Blamey; J.J. Bolton; R.J. Anderson; F. Dufois; M. Rouault; P.W. Froneman; A.K. Whitfield; I.R. Harris; R. Nel; D. Pillay; J.B. Adams","10.2989/1814232X.2013.830147","","","","A. Mead; C.L. Griffiths; G.M. Branch; C.D. McQuaid; L.K. Blamey; J.J. Bolton; R.J. Anderson; F. Dufois; M. Rouault; P.W. Froneman; A.K. Whitfield; I.R. Harris; R. Nel; D. Pillay; J.B. Adams","A. Mead; C.L. Griffiths; G.M. Branch; C.D. McQuaid; L.K. Blamey; J.J. Bolton; R.J. Anderson; F. Dufois; M. Rouault; P.W. Froneman; A.K. Whitfield; I.R. Harris; R. Nel; D. Pillay; J.B. Adams","A. Mead; C.L. Griffiths; G.M. Branch; C.D. McQuaid; L.K. Blamey; J.J. Bolton; R.J. Anderson; F. Dufois; M. Rouault; P.W. Froneman; A.K. Whitfield; I.R. Harris; R. Nel; D. Pillay; J.B. Adams","Journal Article","","35","2013","403–425","African Journal of Marine Science","152"
"Biogeographical patterns in the fauna associated with southern African mussel beds","","W. Hammond; C. Griffiths","","","","","W. Hammond; C. Griffiths","W. Hammond; C. Griffiths","W. Hammond; C. Griffiths","Journal Article","","41","2006","123–130","African Zoology","151"
"Differential sensitivity to human influence in juvenile Semimytilus algosus (Gould, 1850) (Mollusca: Mytilidae) from four coastal sites in south-central Chile.","","C. Altamirano-Chovar; A. Rudolph; R.D. Sepúlveda","10.1007/s00128-006-1047-2","","","","C. Altamirano-Chovar; A. Rudolph; R.D. Sepúlveda","C. Altamirano-Chovar; A. Rudolph; R.D. Sepúlveda","C. Altamirano-Chovar; A. Rudolph; R.D. Sepúlveda","Journal Article","","77","2006","171–8","Bulletin of environmental contamination and toxicology","149"
"Deja vu? A second mytilid mussel, Semimytilus algosus , invades South Africa's west coast","","K. de Greef; C.L. Griffiths; Z. Zeeman","10.2989/1814232X.2013.829789","","","","K. de Greef; C.L. Griffiths; Z. Zeeman","K. de Greef; C.L. Griffiths; Z. Zeeman","K. de Greef; C.L. Griffiths; Z. Zeeman","Journal Article","","35","2013","307–313","African Journal of Marine Science","148"
"Growth rate, condition, and shell shape of Mytilus galloprovincialis: responses to wave exposure","","C.N. Steffani; G.M. Branch","10.3354/meps246197","","","","C.N. Steffani; G.M. Branch","C.N. Steffani; G.M. Branch","C.N. Steffani; G.M. Branch","Journal Article","","246","2003","197–209","Marine Ecology Progress Series","143"
