"Title","Access Date","Authors","DOI","Issue","Place Published","Publisher","Secondary Authors","Subsidiary Authors","Tertiary Authors","Type of Publication","Type of Work","Volume","Year of Publication","Pagination","Secondary Title","Nid"
"Re-descriptions of some southern African Scyphozoa: Out with the old and in with the new.","","S. Neethling","","","Bellville","Western Cape","S. Neethling","S. Neethling","S. Neethling","Thesis","MSc","MSc","2010","","Biodiversity and Conservation Biology","1444"
"Jellyfication of marine ecosystems as a likely consequence of overfishing small pelagic fishes: lessons from the Benguela","","J.P. Roux; C.D. van der Lingen; M.J. Gibbons; N.E. Moroff; L.J. Shannon; A.D.M. Smith; P.M. Cury","","","","","J.P. Roux; C.D. van der Lingen; M.J. Gibbons; N.E. Moroff; L.J. Shannon; A.D.M. Smith; P.M. Cury","J.P. Roux; C.D. van der Lingen; M.J. Gibbons; N.E. Moroff; L.J. Shannon; A.D.M. Smith; P.M. Cury","J.P. Roux; C.D. van der Lingen; M.J. Gibbons; N.E. Moroff; L.J. Shannon; A.D.M. Smith; P.M. Cury","Journal Article","","89","2013","249–284","Bulletin of Marine Science","1440"
"Medusae (Hydrozoa, Scyphozoa, Cubozoa) of the Benguela Current (southeastern Atlantic)","","F. Pagès; J.María Gili; J. Bouillon","","","","","F. Pagès; J.María Gili; J. Bouillon","F. Pagès; J.María Gili; J. Bouillon","F. Pagès; J.María Gili; J. Bouillon","Journal Article","","56","1992","1–64","Scientia Marina","1439"
"Revision of the genus Chrysaora Péron & Lesueur, 1810 (Cnidaria: Scyphozoa)","","A.C. Morandini; A.C. Marques","","","","","A.C. Morandini; A.C. Marques","A.C. Morandini; A.C. Marques","A.C. Morandini; A.C. Marques","Journal Article","","2464","2010","1–97","Zootaxa","1438"
"Temporal and spatial patterns in the abundance of jellyfish in the northern Benguela upwelling ecosystem and their link to thwarted pelagic fishery recovery","","B.A. Flynn; A.J. Richardson; A.S. Brierley; D.C. Boyer","","","","","B.A. Flynn; A.J. Richardson; A.S. Brierley; D.C. Boyer","B.A. Flynn; A.J. Richardson; A.S. Brierley; D.C. Boyer","B.A. Flynn; A.J. Richardson; A.S. Brierley; D.C. Boyer","Journal Article","","34","2012","131–146","African Journal of Marine Science","1437"
"Temporal and spatial patterns in the abundance of jellyfish in the northern Benguela upwelling ecosystem and their link to thwarted pelagic fishery recovery","","B.A. Flynn; A.J. Richardson; A.S. Brierley; D.C. Boyer; B.E. Axelsen; L. Scott; N.E. Moroff; P.I. Kainge; B.M. Tjizoo; M.J. Gibbons","","","","","B.A. Flynn; A.J. Richardson; A.S. Brierley; D.C. Boyer; B.E. Axelsen; L. Scott; N.E. Moroff; P.I. Kainge; B.M. Tjizoo; M.J. Gibbons","B.A. Flynn; A.J. Richardson; A.S. Brierley; D.C. Boyer; B.E. Axelsen; L. Scott; N.E. Moroff; P.I. Kainge; B.M. Tjizoo; M.J. Gibbons","B.A. Flynn; A.J. Richardson; A.S. Brierley; D.C. Boyer; B.E. Axelsen; L. Scott; N.E. Moroff; P.I. Kainge; B.M. Tjizoo; M.J. Gibbons","Journal Article","","34","2012","131–146","African Journal of Marine Science","1436"
"A note on the diet and feeding of Chrysaora hysoscella in Walvis Bay Lagoon, Namibia, during September 2003","","B.A. Flynn; M.J. Gibbons","","","","","B.A. Flynn; M.J. Gibbons","B.A. Flynn; M.J. Gibbons","B.A. Flynn; M.J. Gibbons","Journal Article","","29","2007","303–307","African Journal of Marine Science","1435"
"Biometry and size distribution of Chrysaora hysoscella (Cnidaria, Scyphozoa) and Aequorea aequorea (Cnidaria, Hydrozoa) off Namibia with some notes on their parasite Hyperia medusarum","","E. Buecher; C. Sparks; A. Brierley; H. Boyer; M. Gibbons","","","","","E. Buecher; C. Sparks; A. Brierley; H. Boyer; M. Gibbons","E. Buecher; C. Sparks; A. Brierley; H. Boyer; M. Gibbons","E. Buecher; C. Sparks; A. Brierley; H. Boyer; M. Gibbons","Journal Article","","23","2001","1073–1080","Journal of Plankton Research","1434"
"Identification of $\alpha$-galactosyl and other carbohydrate epitopes that are bound by human anti-pig antibodies: relevance to discordant xenografting in man","","D.K.C. Cooper; A.H. Good; E. Koren; R. Oriol; A.J. Malcolm; R.M. Ippolito; F.A. Neethling; Y. Ye; E. Romano; N. Zuhdi","","","","","D.K.C. Cooper; A.H. Good; E. Koren; R. Oriol; A.J. Malcolm; R.M. Ippolito; F.A. Neethling; Y. Ye; E. Romano; N. Zuhdi","D.K.C. Cooper; A.H. Good; E. Koren; R. Oriol; A.J. Malcolm; R.M. Ippolito; F.A. Neethling; Y. Ye; E. Romano; N. Zuhdi","D.K.C. Cooper; A.H. Good; E. Koren; R. Oriol; A.J. Malcolm; R.M. Ippolito; F.A. Neethling; Y. Ye; E. Romano; N. Zuhdi","Journal Article","","1","1993","198–205","Transplant immunology","1432"
"Marine fish eggs and larvae off the east coast of South Africa","","C. AD","","","","","C. AD","C. AD","C. AD","Journal Article","","","2012","","","1431"
"Istophorus platypterus. In: IUCN 2012. IUCN Red List of Threatened Species","","C. B","","","","","C. B","C. B","C. B","Journal Article","","2","2011","","","1430"
"Istophorus platypterus. In: IUCN 2012. IUCN Red List of Threatened Species","","C. AD","","","","","C. AD","C. AD","C. AD","Journal Article","","2 ","2012","","","1429"
"Southern African Marine Linefish Species Profiles","","M. BQ","","","","","M. BQ","M. BQ","M. BQ","Journal Article","","","2013","343","Oceanographic Research Institute, Durban","1428"
"Feeding habits of dolphinfish (Coryphaena hippurus) in the southeastern Gulf of California, Mexico","","A. Tripp-Valdez; F. Galván-Magaña; S. Ortega-García","","","","","A. Tripp-Valdez; F. Galván-Magaña; S. Ortega-García","A. Tripp-Valdez; F. Galván-Magaña; S. Ortega-García","A. Tripp-Valdez; F. Galván-Magaña; S. Ortega-García","Journal Article","","26","2010","578–582","Journal of Applied Ichthyology","1427"
"The biology and distribution of the dolphins (Pisces, Coryphaenidae)","","Y.N. Shcherbachev","","","","","Y.N. Shcherbachev","Y.N. Shcherbachev","Y.N. Shcherbachev","Journal Article","","13","1973","182–191","J. Ichthyol","1426"
"Food habits and sex ratios of dolphin Coryphaena hippurus captured in the western Atlantic Ocean off Hatteras, North Carolina","","C.D. Rose; W.W. Hassler","","","","","C.D. Rose; W.W. Hassler","C.D. Rose; W.W. Hassler","C.D. Rose; W.W. Hassler","Journal Article","","103","1974","94–100","Transactions of the American Fisheries Society","1425"
"Feeding habits of the dolphinfish (Coryphaena hippurus) in the eastern Caribbean","","H.A. Oxenford; W. Hunte","","","","","H.A. Oxenford; W. Hunte","H.A. Oxenford; W. Hunte","H.A. Oxenford; W. Hunte","Journal Article","","63","1999","317–325","Scientia Marina","1424"
"Migration of the dolphin (Coryphaena hippurus) and its implications for fisheries management in the Western Central Atlantic","","H.A. Oxenford; W. Hunte","","","","","H.A. Oxenford; W. Hunte","H.A. Oxenford; W. Hunte","H.A. Oxenford; W. Hunte","Conference Paper","","","1986","","Proceedings of the Gulf and Caribbean Fisheries Institute","1423"
"A Preliminary Investigation of the Stock Structure of the Dolphin, Coryphaena-Hippurus, in the Western Central Atlantic","","H.A. Oxenford; W. Hunte","","","","","H.A. Oxenford; W. Hunte","H.A. Oxenford; W. Hunte","H.A. Oxenford; W. Hunte","Miscellaneous","","","1986","","","1422"
"An indeterminate model to estimate egg production of the highly iteroparous and fecund fish, dolphinfish (Coryphaena hippurus)","","R.S. McBride; D.J.G. Snodgrass; D.H. Adams; S.J. Rider; J.A. Colvocoresses","","","","","R.S. McBride; D.J.G. Snodgrass; D.H. Adams; S.J. Rider; J.A. Colvocoresses","R.S. McBride; D.J.G. Snodgrass; D.H. Adams; S.J. Rider; J.A. Colvocoresses","R.S. McBride; D.J.G. Snodgrass; D.H. Adams; S.J. Rider; J.A. Colvocoresses","Journal Article","","88","2012","283–303","Bulletin of Marine Science","1421"
"Reproductive biology of dolphin-fish (Coryphaena hippurus L.) off the island of Majorca (western Mediterranean)","","E. Massutí; B. Morales-Nin","","","","","E. Massutí; B. Morales-Nin","E. Massutí; B. Morales-Nin","E. Massutí; B. Morales-Nin","Journal Article","","30","1997","57–65","Fisheries Research","1420"
"Seasonality and reproduction of dolphin-fish (Coryphaena hippurus) in the Western Mediterranean","","E. Massutí; B. Morales-Nin","","","","","E. Massutí; B. Morales-Nin","E. Massutí; B. Morales-Nin","E. Massutí; B. Morales-Nin","Journal Article","","","1995","","","1419"
"Larval development, distribution, and abundance of common dolphin, Coryphaena hippurus, and pompano dolphin, C. equiselis(family: Coryphaenidae), in the northern Gulf of Mexico","","J.G. Ditty; R.F. Shaw; C.B. Grimes; J.S. Cope","","","","","J.G. Ditty; R.F. Shaw; C.B. Grimes; J.S. Cope","J.G. Ditty; R.F. Shaw; C.B. Grimes; J.S. Cope","J.G. Ditty; R.F. Shaw; C.B. Grimes; J.S. Cope","Journal Article","","92","1994","275–291","Fishery Bulletin","1418"
"The length-weight relationship, condition factor and gut contents of the dolphin-fish Coryphaena hippurus (L.) in the Mediterranean","","J.V. Bannister","","","","","J.V. Bannister","J.V. Bannister","J.V. Bannister","Journal Article","","9","1976","335–338","Journal of Fish Biology","1417"
"Stock assessment of dolphinfish, Coryphaena hippurus (Linnaeus, 1758) off southwest coast of India","","D. Benjamin; M. Kurup","","","","","D. Benjamin; M. Kurup","D. Benjamin; M. Kurup","D. Benjamin; M. Kurup","Journal Article","","54","2012","96","Journal of the Marine Biological Association of India","1416"
"Biology and stock assessment of robalo, Cheimerius nufar (Valenciennes, 1830) in southern Mozambique","","R.G.A. Torres","","","","MSc thesis, University of Eduardo Mondlane, Maputo, Mozambique, 82p","R.G.A. Torres","R.G.A. Torres","R.G.A. Torres","Thesis","phd","","2009","","","1414"
"Preliminary estimation of growth in Cheimerius nufar (Sparidae) from southern Mozambique","","I.G. Timochin","","","","","I.G. Timochin","I.G. Timochin","I.G. Timochin","Journal Article","","21","1992","50–58","Revista de Investigação Pesqueira","1413"
"The feeding biology of four predatory reef fishes off the south-eastern Cape coast, South Africa","","M.J. Smale","","","","","M.J. Smale","M.J. Smale","M.J. Smale","Journal Article","","21","1986","111–130","South African Journal of Zoology","1412"
"Preliminary data on the biology of sparid fishes, Chrysoblephus puniceus and Cheimerius nufar from the waters of Mozambique","","A.S. Piotrovski","","","","","A.S. Piotrovski","A.S. Piotrovski","A.S. Piotrovski","Conference Paper","","","1990","","7th National Oceanographic Conference, San Lameer, South Africa","1411"
"The commecial linefishery","","P. AJ; B. CD; G. PA; S. MJ","","","","","P. AJ; B. CD; G. PA; S. MJ","P. AJ; B. CD; G. PA; S. MJ","P. AJ; B. CD; G. PA; S. MJ","Journal Article","","","1989","214-229","Oceans of life off southern Africa (2nd Edition)","1410"
"Long-term movement patterns of five temperate reef-fishes (Pisces: Sparidae): implications for marine reserves","","G. MH; W. CG","","","","","G. MH; W. CG","G. MH; W. CG","G. MH; W. CG","Journal Article","","53","2002","233-244","Marine and Freshwater Research ","1409"
"Spawning behaviour of Cheimerius nufar in captivity","","G. PA","","","","","G. PA","G. PA","G. PA","Journal Article","","31(4","1991","345-353","Environmental Biology of Fishes","1408"
"Predation patterns of demersal teleosts from the Cape south and west coasts of South Africa. 2. Benthic and epibenthic predators","","M. Meyer; M.J. Smale","","","","","M. Meyer; M.J. Smale","M. Meyer; M.J. Smale","M. Meyer; M.J. Smale","Journal Article","","11","1991","409–442","South African Journal of Marine Science","1402"
"Spawning behaviour ofCheimerius nufar in captivity","","P.A. Garratt","","","","","P.A. Garratt","P.A. Garratt","P.A. Garratt","Journal Article","","31","1991","345–353","Environmental biology of fishes","1401"
"Field guide to the living marine resources of Namibia","","G. Bianchi; K.E. Carpenter; J.P. Roux; F.J. Molloy; D. Boyer; H.J. Boyer","","","Rome","FAO","G. Bianchi; K.E. Carpenter; J.P. Roux; F.J. Molloy; D. Boyer; H.J. Boyer","G. Bianchi; K.E. Carpenter; J.P. Roux; F.J. Molloy; D. Boyer; H.J. Boyer","G. Bianchi; K.E. Carpenter; J.P. Roux; F.J. Molloy; D. Boyer; H.J. Boyer","Report","","","1999","","","1400"
"Dasyatis chrysonota","","M.J. Smale","","","","","M.J. Smale","M.J. Smale","M.J. Smale","Report","","","2009","","The IUCN Red List of Threatened Species 2009","1395"
"An analysis of the recreational shore fishery in the Goukamma Marine Protected Area","","P. Pradervand; R. Hiseman","","","","","P. Pradervand; R. Hiseman","P. Pradervand; R. Hiseman","P. Pradervand; R. Hiseman","Journal Article","","41","2006","275–289","African Zoology","1394"
"Reproduction and embryonic development of the blue stingray, Dasyatis chrysonota, in southern African waters","","D.A. Ebert; P.D. Cowley","","","","","D.A. Ebert; P.D. Cowley","D.A. Ebert; P.D. Cowley","D.A. Ebert; P.D. Cowley","Journal Article","","89","2009","809–815","Journal of the Marine Biological Association of the United Kingdom","1393"
"A taxonomic re-evaluation of the blue stingray from southern Africa (Myliobatiformes: Dasyatidae)","","P.D. Cowley; L.J.V. Compagno","","","","","P.D. Cowley; L.J.V. Compagno","P.D. Cowley; L.J.V. Compagno","P.D. Cowley; L.J.V. Compagno","Journal Article","","13","1993","135–149","South African Journal of Marine Science","1392"
"Age and growth of the blue stingray Dasyatis chrysonota chrysonota from the south-eastern Cape coast of South Africa","","P.D. Cowley","","","","","P.D. Cowley","P.D. Cowley","P.D. Cowley","Journal Article","","18","1997","31–38","South African Journal of Marine Science","1391"
"The Taxonomy and Life History of the Blue Stingray, Dasyatis Marmorata Capensis (Batoidea: Dasyatidae) from Southern Africa","","P.Denfer Cowley","","","","","P.Denfer Cowley","P.Denfer Cowley","P.Denfer Cowley","Book","","","1990","","","1390"
"Age, growth and food of Cheimerius nufar (Ehrenberg, 1820)(Sparidae), collected off St Croix Island, Algoa Bay","","P.S. Coetzee; D. Baird","","","","","P.S. Coetzee; D. Baird","P.S. Coetzee; D. Baird","P.S. Coetzee; D. Baird","Journal Article","","16","1981","137–143","South African Journal of Zoology","1389"
"CATCH COMPOSITION AND CATCH PER UNIT EFFORT OF ANGLERS CATCHES OFF ST CROIX ISLAND, ALGOA BAY","","P.S. Coetzee; D. Baird","","","","","P.S. Coetzee; D. Baird","P.S. Coetzee; D. Baird","P.S. Coetzee; D. Baird","Journal Article","","11","1981","14–20","South African Journal of Wildlife Research","1388"
"Alternative reproductive styles in seabreams (Pisces: Sparidae)","","C.D. Buxton; P.A. Garratt","","","","","C.D. Buxton; P.A. Garratt","C.D. Buxton; P.A. Garratt","C.D. Buxton; P.A. Garratt","Journal Article","","28","1990","113–124","Environmental Biology of Fishes","1387"
"Stingrays","","P.D. Cowley","","","","","P.D. Cowley","P.D. Cowley","P.D. Cowley","Newspaper Article","newslwtter","18","1988","","Ichthos newsletter","1386"
"Field guide to the living marine resources of Namibia","","G. Bianchi; N.Direktorat utviklingshjelp","","","","Food & Agriculture Org.","G. Bianchi; N.Direktorat utviklingshjelp","G. Bianchi; N.Direktorat utviklingshjelp","G. Bianchi; N.Direktorat utviklingshjelp","Book","","","1999","","","1385"
"Cheilodactylidae","","M.M. Smith; M.L. Bauchot","","","Rome","Western Indian Ocean (Fishing Area 51)","M.M. Smith; M.L. Bauchot","M.M. Smith; M.L. Bauchot","M.M. Smith; M.L. Bauchot","Book Chapter","","","1984","","FAO species identification sheets for fishery purposes","1380"
"Ocean warming alters species abundance patterns and increases species diversity in an African sub-tropical reef-fish community","","P. Lloyd; E.E. Plaganyi; S.J. Weeks; M.A.R.I.T.E.S. MAGNO-CANTO; G. Plaganyi","","","","","P. Lloyd; E.E. Plaganyi; S.J. Weeks; M.A.R.I.T.E.S. MAGNO-CANTO; G. Plaganyi","P. Lloyd; E.E. Plaganyi; S.J. Weeks; M.A.R.I.T.E.S. MAGNO-CANTO; G. Plaganyi","P. Lloyd; E.E. Plaganyi; S.J. Weeks; M.A.R.I.T.E.S. MAGNO-CANTO; G. Plaganyi","Journal Article","","21","2012","78–94","Fisheries Oceanography","1379"
"Fishery assessment and conservation status of the dusky shark (Carcharhinus obscurus)","","S.F.J. Dudley","","","","Department of Environmental Affairs & Tourism, Branch: Marine and Coastal Management","S.F.J. Dudley","S.F.J. Dudley","S.F.J. Dudley","Report","Contract Report","","2004","23","","1376"
"A proliferation of small sharks in the shore-based Natal sport fishery","","R.P. Van der Elst","","","","","R.P. Van der Elst","R.P. Van der Elst","R.P. Van der Elst","Journal Article","","4","1979","349–362","Environmental Biology of Fishes","1374"
"Further results from a tagging study of pelagic sharks in the north-east Atlantic","","J.D. Stevens","","","","","J.D. Stevens","J.D. Stevens","J.D. Stevens","Journal Article","","70","1990","707–720","Journal of the Marine Biological Association of the United Kingdom","1373"
"Pelagic shark bycatch in the tuna-and swordfish-directed longline fishery off southern Africa","","S.L. Petersen; M.B. Honig; P.G. Ryan; L.G. Underhill; J.V. Compagno","","","","","S.L. Petersen; M.B. Honig; P.G. Ryan; L.G. Underhill; J.V. Compagno","S.L. Petersen; M.B. Honig; P.G. Ryan; L.G. Underhill; J.V. Compagno","S.L. Petersen; M.B. Honig; P.G. Ryan; L.G. Underhill; J.V. Compagno","Journal Article","","31","2009","215–225","African Journal of Marine Science","1372"
"Carcharhinus obscurus","","J.A. Musick; R.D. Grubbs; J. Baum; E. Cortes","","","","http://dx.doi.org/10.2305/IUCN.UK.2009- 2.RLTS.T3852A10127245.en","J.A. Musick; R.D. Grubbs; J. Baum; E. Cortes","J.A. Musick; R.D. Grubbs; J. Baum; E. Cortes","J.A. Musick; R.D. Grubbs; J. Baum; E. Cortes","Report","","","2009","","The IUCN Red List of Threatened Species 2009","1371"
"Sharks and rays of Australia","","P.R. Last; J.D. Stevens;  ","","","","","P.R. Last; J.D. Stevens;  ","P.R. Last; J.D. Stevens;  ","P.R. Last; J.D. Stevens;  ","Journal Article","","","2009","","","1370"
"Nursery grounds, movement patterns and growth rates of dusky sharks, Carcharhinus obscurus: a long-term tag and release study in South African waters","","N.E. Hussey; I.D. McCarthy; S.F.J. Dudley; B.Q. Mann","","","","","N.E. Hussey; I.D. McCarthy; S.F.J. Dudley; B.Q. Mann","N.E. Hussey; I.D. McCarthy; S.F.J. Dudley; B.Q. Mann","N.E. Hussey; I.D. McCarthy; S.F.J. Dudley; B.Q. Mann","Journal Article","","60","2009","571–583","Marine and Freshwater Research","1369"
"Mortality estimates for juvenile dusky sharks Carcharhinus obscurus in South Africa using mark-recapture data","","A. Govender; S.L. Birnie","","","","","A. Govender; S.L. Birnie","A. Govender; S.L. Birnie","A. Govender; S.L. Birnie","Journal Article","","18","1997","11–18","South African Journal of Marine Science","1368"
"Food habits of the smooth dogfish, Mustelus canis, dusky shark, Carcharhinus obscurus, Atlantic sharpnose shark, Rhizoprionodon terraenovae, and the sand tiger, Carcharias taurus, from the northwest Atlantic Ocean","","J. Gelsleichter; J.A. Musick; S. Nichols","","","","","J. Gelsleichter; J.A. Musick; S. Nichols","J. Gelsleichter; J.A. Musick; S. Nichols","J. Gelsleichter; J.A. Musick; S. Nichols","Journal Article","","54","1999","205–217","Environmental Biology of Fishes","1367"
"Sharks caught in the protective gill nets off KwaZulu-Natal, South Africa. 10. The dusky shark Carcharhinus obscurus (Lesueur 1818)","","S.F.J. Dudley; G. Cliff; M.P. Zungu; M.J. Smale","","","","","S.F.J. Dudley; G. Cliff; M.P. Zungu; M.J. Smale","S.F.J. Dudley; G. Cliff; M.P. Zungu; M.J. Smale","S.F.J. Dudley; G. Cliff; M.P. Zungu; M.J. Smale","Journal Article","","27","2005","107–127","African Journal of Marine Science","1366"
"Fishery assessment and conservation status of the dusky shark (Carcharhinus obscurus). ","","D. SFJ","","","Cape town","Department of Environmental Affairs & Tourism, Branch: Marine and Coastal Management","D. SFJ","D. SFJ","D. SFJ","Report","Contract Report","","2004","32p","","1365"
"Population size of neonate and juvenile dusky sharks Carcharhinus obscurus in the Port of Ngqura, South Africa","","M.L. Dicken","","","","","M.L. Dicken","M.L. Dicken","M.L. Dicken","Journal Article","","33","2011","255–261","African Journal of Marine Science","1364"
"Records of the white shark, Carcharodon carcharias (Linnaeus, 1758), from the western Indian Ocean.","","M. Zuffa; G. Van Grevelynghe; A. De Maddalena; T. Storai","","","","","M. Zuffa; G. Van Grevelynghe; A. De Maddalena; T. Storai","M. Zuffa; G. Van Grevelynghe; A. De Maddalena; T. Storai","M. Zuffa; G. Van Grevelynghe; A. De Maddalena; T. Storai","Journal Article","","98","2002","","South African Journal of Science","1363"
"LXIX.—A juvenile of the man-eater, Carcharodon carcharias Linn","","J.L.B. Smith","","","","","J.L.B. Smith","J.L.B. Smith","J.L.B. Smith","Journal Article","","4","1951","729–736","Journal of Natural History","1362"
"Observations on a pregnant white shark with a review of reproductive biology","","M.A.L.C.O.L.M.P. Francis","","","","","M.A.L.C.O.L.M.P. Francis","M.A.L.C.O.L.M.P. Francis","M.A.L.C.O.L.M.P. Francis","Journal Article","","157","1996","172","Great white sharks: the biology of Carcharodon carcharias","1361"
"A review of research on the white shark, Carcharodon carcharias (Linnaeus)","","S.F.J. Dudley","","","","","S.F.J. Dudley","S.F.J. Dudley","S.F.J. Dudley","Journal Article","","","2012","511–532","Southern Africa. In: Global Perspectives on the Biology and Life History of the White Shark (ed. ML Domeier)","1360"
"First observations of young of the year and juvenile great white sharks (Carcharodon carcharias) scavenging from a whale carcass","","M.L. Dicken","","","","","M.L. Dicken","M.L. Dicken","M.L. Dicken","Journal Article","","59","2008","596–602","Marine and Freshwater Research","1359"
"Sharks of the world: an annotated and illustrated catalogue of shark species known to date","","L.J.V. Compagno","","","","Food & Agriculture Org.","L.J.V. Compagno","L.J.V. Compagno","L.J.V. Compagno","Book","","2","2001","","","1358"
"First records of white sharks","","G. Cliff; C.' LJV; M.J. Smale; F.P. van der Elst","","","","","G. Cliff; C.' LJV; M.J. Smale; F.P. van der Elst","G. Cliff; C.' LJV; M.J. Smale; F.P. van der Elst","G. Cliff; C.' LJV; M.J. Smale; F.P. van der Elst","Journal Article","","96","2000","365–367","Carcharodon carcharias, from Mauritius, Zanzibar, Madagascar and Kenya. South African Journal of Science","1357"
"Catches of white sharks in KwaZulu-Natal, South Africa and environmental influences","","G. Cliff; S.F.J. Dudley; M.R. Jury","","","","","G. Cliff; S.F.J. Dudley; M.R. Jury","G. Cliff; S.F.J. Dudley; M.R. Jury","G. Cliff; S.F.J. Dudley; M.R. Jury","Journal Article","","","1996","351–362","Great white sharks: the biology of Carcharodon carcharias","1356"
"Sharks caught in the protective gill nets off Natal, South Africa. 2. The great white shark Carcharodon carcharias (Linnaeus)","","G. Cliff; S.F.J. Dudley; B. Davis","","","","","G. Cliff; S.F.J. Dudley; B. Davis","G. Cliff; S.F.J. Dudley; B. Davis","G. Cliff; S.F.J. Dudley; B. Davis","Journal Article","","8","1989","131–144","South African Journal of Marine Science","1355"
"Transoceanic migration, spatial dynamics, and population linkages of white sharks","","R. Bonfil; M. Meÿer; M.C. Scholl; R. Johnson; S. O'Brien; H. Oosthuizen; S. Swanson; D. Kotze; M. Paterson","","","","","R. Bonfil; M. Meÿer; M.C. Scholl; R. Johnson; S. O'Brien; H. Oosthuizen; S. Swanson; D. Kotze; M. Paterson","R. Bonfil; M. Meÿer; M.C. Scholl; R. Johnson; S. O'Brien; H. Oosthuizen; S. Swanson; D. Kotze; M. Paterson","R. Bonfil; M. Meÿer; M.C. Scholl; R. Johnson; S. O'Brien; H. Oosthuizen; S. Swanson; D. Kotze; M. Paterson","Journal Article","","310","2005","100–103","Science","1353"
"Analysis of shark meshing returns off the Natal coast","","T.Stuart Wallett","","","","University of Natal, Durban","T.Stuart Wallett","T.Stuart Wallett","T.Stuart Wallett","Thesis","phd","","1974","","","1350"
"Variation in the teeth of the sand shark, Odontaspis taurus (Rafinesque) taken from the East China Sea","","T. Taniuchi","","","","","T. Taniuchi","T. Taniuchi","T. Taniuchi","Journal Article","","17","1970","37–44","Japanese Journal of Ichthyology","1349"
"The diet of the ragged-tooth shark Carcharias taurus Rafinesque 1810 in the Eastern Cape, South Africa","","M.J. Smale","","","","","M.J. Smale","M.J. Smale","M.J. Smale","Journal Article","","27","2005","331–335","African Journal of Marine Science","1348"
"Occurrence of Carcharias taurus in nursery areas of the Eastern and Western Cape, South Africa","","M.J. Smale","","","","","M.J. Smale","M.J. Smale","M.J. Smale","Journal Article","","53","2002","551–556","Marine and Freshwater Research","1347"
"Carcharias taurus","","D. Pollard; A. Smith","","","","","D. Pollard; A. Smith","D. Pollard; A. Smith","D. Pollard; A. Smith","Report","","","2009","","The IUCN Red List of Threatened Species 2009","1346"
"The grey nurse shark","","D. Ireland","","","","","D. Ireland","D. Ireland","D. Ireland","Journal Article","","11","1984","10–13","Underwater","1345"
"Pre-copulatory behaviour of captive sandtiger sharks, Carcharias taurus","","I. Gordon","","","","Springer","I. Gordon","I. Gordon","I. Gordon","Book Chapter","","","1993","159–164","The reproduction and development of sharks, skates, rays and ratfishes","1344"
"A re-examination of the age and growth of sand tiger sharks, Carcharias taurus, in the western North Atlantic: the importance of ageing protocols and use of multiple back-calculation techniques","","K.J. Goldman; S. Branstetter; J.A. Musick","","","","","K.J. Goldman; S. Branstetter; J.A. Musick","K.J. Goldman; S. Branstetter; J.A. Musick","K.J. Goldman; S. Branstetter; J.A. Musick","Journal Article","","77","2006","241–252","Environmental Biology of Fishes","1343"
"Reproduction and embryonic development of the sand tiger shark, Odontaspis taurus (Rafinesque)","","R. Grant; W. Dodrill; A. Linley","","","","","R. Grant; W. Dodrill; A. Linley","R. Grant; W. Dodrill; A. Linley","R. Grant; W. Dodrill; A. Linley","Journal Article","","81","1983","201–225","Fishery Bulletin","1342"
"Reproductive biology of lamnoid sharks","","G. Gilmore","","","","","G. Gilmore","G. Gilmore","G. Gilmore","Journal Article","","38","1993","95–114","Environmental Biology of Fishes","1341"
"Estimates of juvenile and adult raggedtooth shark (Carcharias taurus) abundance along the east coast of South Africa","","M.Laurence Dicken; A.John Booth; M.John Smale","","","","","M.Laurence Dicken; A.John Booth; M.John Smale","M.Laurence Dicken; A.John Booth; M.John Smale","M.Laurence Dicken; A.John Booth; M.John Smale","Journal Article","","65","2008","621–632","Canadian Journal of Fisheries and Aquatic Sciences","1338"
"Spatial and seasonal distribution patterns of juvenile and adult raggedtooth sharks (Carcharias taurus) tagged off the east coast of South Africa","","M.L. Dicken; A.J. Booth; M.J. Smale; G. Cliff","","","","","M.L. Dicken; A.J. Booth; M.J. Smale; G. Cliff","M.L. Dicken; A.J. Booth; M.J. Smale; G. Cliff","M.L. Dicken; A.J. Booth; M.J. Smale; G. Cliff","Journal Article","","58","2007","127–134","Marine and Freshwater Research","1336"
"Spatial and seasonal distribution patterns of the ragged-tooth shark Carcharias taurus along the coast of South Africa","","M.L. Dicken; M.J. Smale; A.J. Booth","","","","","M.L. Dicken; M.J. Smale; A.J. Booth","M.L. Dicken; M.J. Smale; A.J. Booth","M.L. Dicken; M.J. Smale; A.J. Booth","Journal Article","","28","2006","603–616","African Journal of Marine Science","1335"
"Note d'ichtyologie ouest-africaine: 14. Remarques biologiques sur le requin sable Carcharias (Odontaspis), taurus Rafinesque 1810","","J. Cadenat","","","","","J. Cadenat","J. Cadenat","J. Cadenat","Journal Article","","","1956","","","1334"
"Age and growth estimates for the sand tiger in the northwestern Atlantic Ocean","","S. Branstetter; J.A. Musick","","","","","S. Branstetter; J.A. Musick","S. Branstetter; J.A. Musick","S. Branstetter; J.A. Musick","Journal Article","","123","1994","242–254","Transactions of the American Fisheries Society","1333"
"Age and growth determination of the blacktip shark, Carcharhinus limbatus, from the east coast of South Africa","","S.P. Wintner; G. Cliff","","","","","S.P. Wintner; G. Cliff","S.P. Wintner; G. Cliff","S.P. Wintner; G. Cliff","Journal Article","","12","1996","1275","Oceanographic Literature Review","1328"
