assessment_id,credit_type,internal_taxon_id,text
12223085,Assessor,60076,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12228765,Assessor,60079,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12229716,Assessor,60010,"Clausnitzer, V. & Suhling, F."
12230656,Assessor,60011,"Clausnitzer, V., Dijkstra, K.-D.B. & Suhling, F."
12231960,Assessor,60013,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12232877,Assessor,60014,"Clausnitzer, V. & Suhling, F."
12233525,Assessor,60015,"Clausnitzer, V., Dijkstra, K.-D.B. & Suhling, F."
12233959,Assessor,60015,"Suhling, F. & Clausnitzer, V."
12237867,Assessor,60018,"Clausnitzer, V. & Suhling, F."
12245777,Assessor,60025,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12252069,Assessor,60030,"Clausnitzer, V. & Suhling, F."
12252723,Assessor,60031,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12253250,Assessor,60031,"Suhling, F. & Clausnitzer, V."
12254589,Assessor,60032,"Clausnitzer, V. & Suhling, F."
12255786,Assessor,60033,"Clausnitzer, V."
12257635,Assessor,60034,"Clausnitzer, V., Dijkstra, K.-D.B. & Suhling, F."
12268359,Assessor,60044,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12268854,Assessor,60044,"Suhling, F. & Clausnitzer, V."
12277677,Assessor,60051,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12278189,Assessor,60051,"Suhling, F. & Clausnitzer, V."
12285437,Assessor,60056,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12285871,Assessor,60056,"Suhling, F. & Clausnitzer, V."
12287171,Assessor,60057,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12290756,Assessor,60065,"Clausnitzer, V. & Suhling, F."
12292786,Assessor,60068,"Clausnitzer, V. & Dijkstra, K.-D.B."
12294024,Assessor,60069,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12295802,Assessor,60072,"Clausnitzer, V., Suhling, F. & Dijkstra, K.-D.B."
12296340,Assessor,60072,"Suhling, F. & Clausnitzer, V."
12604771,Assessor,63171,"Suhling, F."
