Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,kingdom,ordername,phylum,species,taxonomicAuthority
59986,"<em>Phyllogomphus orientalis</em> Fraser, 1957 is a possible synonym.",INSECTA,GOMPHIDAE,Phyllogomphus,,,,59986,ANIMALIA,ODONATA,ARTHROPODA,selysi,"Schouteden, 1933"
59995,"Possible synonym = <i>Phyllomacromia onerata</i> (Martin, 1907).",INSECTA,MACROMIIDAE,Phyllomacromia,,,,59995,ANIMALIA,ODONATA,ARTHROPODA,monoceros,"(Förster, 1906)"
59997,,INSECTA,MACROMIIDAE,Phyllomacromia,,,,59997,ANIMALIA,ODONATA,ARTHROPODA,picta,"(Hagen in Selys, 1871)"
60005,A specimen from the shores of Lake Malawi may be a new species.,INSECTA,CHLOROCYPHIDAE,Platycypha,,,,60005,ANIMALIA,ODONATA,ARTHROPODA,caligata,"(Selys, 1853)"
60010,"Former records of Kenya correspond to <em>P.&#160;</em><em>niloticum</em>. <em>Pseudagrion </em>is likely to be split into two genera at some point. Until this taxonomic split occurs, the candidates for these two groups are highlighted by ""group A"" and ""group B"". This species belongs to <span style=""font-weight: bold;"">group B</span>.",INSECTA,COENAGRIONIDAE,Pseudagrion,,,,60010,ANIMALIA,ODONATA,ARTHROPODA,acaciae,"Förster, 1906"
60011,"<em>Pseudagrion</em> is likely to be split into two genera at some point. Until this taxonomic split occurs, the candidates for these two groups are highlighted by ""group A"" and ""group B"". <em>P. assegaii</em> is a <span style=""font-weight: bold;"">B-group</span> species.",INSECTA,COENAGRIONIDAE,Pseudagrion,,,,60011,ANIMALIA,ODONATA,ARTHROPODA,assegaii,"Pinhey, 1950"
60013,"<em>Pseudagrion</em> is likely to be split into two genera at some point. Until this taxonomic split occurs, the candidates for these two groups are highlighted by ""group A"" and ""group B"". <em>Pseudagrion coelestis</em> is a <span style=""font-weight: bold;"">B-group</span> species.",INSECTA,COENAGRIONIDAE,Pseudagrion,,,,60013,ANIMALIA,ODONATA,ARTHROPODA,coelestis,"Longfield, 1947"
60014,"<em>Pseudagrion</em> is likely to be split into two genera at some point. Until this taxonomic split occurs, the candidates for these two groups are highlighted by ""group A"" and ""group B"". This species belongs to group B.",INSECTA,COENAGRIONIDAE,Pseudagrion,,,,60014,ANIMALIA,ODONATA,ARTHROPODA,commoniae,"(Förster, 1902)"
60015,"<em>Pseudagrion</em> is likely to be split into two genera at some point. Until this taxonomic split occurs, the candidates for these two groups are highlighted by ""group A"" and ""group B"". This species is part of group A.",INSECTA,COENAGRIONIDAE,Pseudagrion,,,,60015,ANIMALIA,ODONATA,ARTHROPODA,gamblesi,"Pinhey, 1978"
60018,"<em>Pseudagrion</em> is likely to be split into two genera at some point. Until this taxonomic split occurs, the candidates for these two groups are highlighted by ""group A"" and ""group B"". This species is part of group B.",INSECTA,COENAGRIONIDAE,Pseudagrion,,,,60018,ANIMALIA,ODONATA,ARTHROPODA,hageni,"Karsch, 1893"
60019,This widely distributed and abundant species is often misidentified and confused with similar taxa.,INSECTA,COENAGRIONIDAE,Pseudagrion,,,,60019,ANIMALIA,ODONATA,ARTHROPODA,hamoni,"Fraser, 1955"
60022,<strong><br/></strong>,INSECTA,COENAGRIONIDAE,Pseudagrion,,,,60022,ANIMALIA,ODONATA,ARTHROPODA,kersteni,"(Gerstäcker, 1869)"
60025,"<em>Pseudagrion</em> is likely to be split into two genera at some point. Until this taxonomic split occurs, the candidates for these two groups are highlighted by ""group A"" and ""group B"". This species is part of group B.",INSECTA,COENAGRIONIDAE,Pseudagrion,,,,60025,ANIMALIA,ODONATA,ARTHROPODA,massaicum,"Sjöstedt, 1909"
