Research.ResearchSubfield.ResearchLookup,Research.ResearchSubfield.ResearchName,Research.ResearchSubfield.note,internal_taxon_id
3.1,,,60014
3.1,,,60015
3.1,,,60015
3.1,,None,60018
3.1,,,60018
3.1,,None,60030
1.2,,None,60030
3.1,,,60030
1.2,,,60030
3.1,,,60031
1.3,,,60031
1.5,,,60031
1.1,,,60031
1.2,,,60031
3.1,,,60031
1.3,,,60031
1.5,,,60031
1.1,,,60031
1.2,,,60031
3.1,,,60032
3.1,,,60033
3.1,,None,60034
1.3,,"None --- 
None",60034
1.5,,None,60034
1.6,,None,60034
1.2,,None,60034
3.1,,,60034
1.3,,,60034
1.5,,,60034
1.6,,,60034
1.1,,,60034
1.2,,,60034
3.1,,,60044
1.2,,,60044
3.1,,,60044
3.1,,,60051
3.1,,,60051
3.1,,,60056
1.2,,,60056
3.1,,,60056
1.2,,,60056
3.1,,None,60057
3.1,,,60057
3.1,,None,60065
1.2,,None,60065
3.1,,,60065
1.2,,,60065
3.1,,None,60068
3.1,,,60068
3.1,,None,60069
3.1,,,60069
1.3,,,60069
1.5,,,60069
1.2,,,60069
3.1,,,60072
1.5,,,60072
3.1,,,60072
1.5,,,60072
3.1,,,63175
1.3,,,63175
1.5,,,63175
1.6,,,63175
1.2,,,63175
3.1,,,63176
1.2,,,63176
3.1,,None,63176
1.2,,None,63176
3.1,,,63178
1.3,,,63178
1.5,,,63178
1.6,,,63178
1.1,,,63178
1.2,,,63178
3.1,,None,63178
1.3,,"None --- 
None",63178
1.5,,None,63178
1.6,,None,63178
1.1,,None,63178
1.2,,None,63178
3.1,,,63182
1.3,,,63182
1.2,,,63182
3.1,,,63183
3.1,,,63184
1.5,,,63184
1.2,,,63184
3.1,,,63185
3.1,,,63191
1.2,,,63191
3.1,,None,63191
1.2,,None,63191
3.1,,,63193
1.3,,,63193
1.6,,,63193
3.1,,None,63193
1.3,,None,63193
1.6,,None,63193
3.1,,,63194
1.3,,,63194
1.1,,,63194
1.2,,,63194
3.1,,,63195
1.3,,,63195
1.5,,,63195
1.2,,,63195
3.1,,,63202
1.2,,,63202
3.1,,,63203
1.3,,,63203
3.1,,,63204
1.3,,,63204
1.5,,,63204
1.2,,,63204
3.1,,,63214
1.5,,,63214
1.6,,,63214
1.2,,,63214
3.1,,,63216
1.3,,,63216
1.5,,,63216
1.2,,,63216
3.1,,,63218
1.5,,,63218
1.6,,,63218
1.2,,,63218
3.1,,,63219
1.3,,,63219
1.2,,,63219
3.1,,,6973
1.2,,,6973
3.1,,,6975
1.5,,,59813
1.3,,,59813
1.2,,,59813
3.1,,,59813
3.1,,"",59902
1.3,,"",59860
1.2,,"",59860
3.1,,"",59860
1.1,,"",59965
3.1,,"",59967
3.4,,"",59967
1.2,,"",59967
1.3,,"",59967
1.5,,"",59967
1.1,,"",60052
1.3,,"",60078
3.1,,None,60078
1.2,,"",60037
1.1,,"",60037
1.5,,"",59819
1.3,,"",59819
1.2,,"",59819
1.1,,"",59819
3.4,,"",59819
3.1,,"",59819
1.5,,"",59828
1.3,,"",59828
1.2,,"",59828
3.4,,"",59828
3.1,,"",59828
1.2,,"",59948
3.1,,"",59948
1.6,,"",59976
1.5,,"",59976
1.3,,"",59976
1.2,,"",59976
1.1,,"",59976
3.4,,"",59976
3.1,,"",59976
1.5,,"",60019
1.3,,"",60019
1.2,,"",60019
3.4,,"",60019
3.1,,"",60019
1.5,,"",60022
1.3,,"",60022
1.2,,"",60022
3.4,,"",60022
3.1,,"",60022
1.1,,"",60050
3.1,,"",60050
1.5,,"",60058
1.3,,"",60058
1.2,,"",60058
3.3,,"",60058
3.1,,"",60058
3.1,,,59814
