Threats.ThreatsSubfield.StressesSubfield.stress,Threats.ThreatsSubfield.StressesSubfield.stressdesc,Threats.ThreatsSubfield.ThreatsLookup,Threats.ThreatsSubfield.ThreatsName,Threats.ThreatsSubfield.ancestry,Threats.ThreatsSubfield.ias,Threats.ThreatsSubfield.internationalTrade,Threats.ThreatsSubfield.scope,Threats.ThreatsSubfield.severity,Threats.ThreatsSubfield.text,Threats.ThreatsSubfield.timing,Threats.ThreatsSubfield.virus,internal_taxon_id
1.1|1.2,,2.1.4,,,,,,,,Ongoing,,13257
1.2,,8.1.1,,,,,,,,Ongoing,,13257
1.2,,7.2.8,,,,,,,,Ongoing,,13257
1.1|1.2,,7.2.11,,,,,,,,Ongoing,,13257
,,8.1.2,,,Oncorhynchus mykiss,,,,,Ongoing,,13257
1.2,,8.1.2,,,Acacia mearnsii,,,,,Ongoing,,13257
1.2,,11.2,,,,,,,,Ongoing,,168013
1.2,,7.2.8,,,,,,,,Ongoing,,168013
1.2|1.1,,2.3.4,,,,,,,,Future,,22816
1.2|1.1,,1.3,,,,,,,,Future,,22816
1.2,,5.3.5,,,,,,,,Future,,22816
1.2|1.1,,1.1,,,,,,,,Future,,22816
1.1|1.2,,2.3.4,,,,,,,,Ongoing,,42840
1.2,,9.3.2,,,,,,,,Ongoing,,42840
1.2,,9.1.3,,,,,,,,Ongoing,,42840
1.2,,8.1.1,,,,,,,,Ongoing,,42840
,,8.1.2,,,Oncorhynchus mykiss,,,,,Ongoing,,42840
1.2,,8.1.2,,,Acacia mearnsii,,,,,Ongoing,,42840
1.2|1.1,,2.3.4,,,,,,,,Ongoing,,42843
1.2,,8.1.1,,,,,,,,Ongoing,,42843
1.1|1.2,,2.3.4,,,,,,,,Ongoing,,42845
1.2,,9.3.4,,,,,,,,Ongoing,,42845
1.1|1.2,,2.2.3,,,,,,,,Ongoing,,42845
1.2,,8.1.1,,,,,,,,Ongoing,,42845
1.1|1.2,,2.1.4,,,,,,,,Ongoing,,42845
1.2,,7.2.8,,,,,,,,Ongoing,,42845
1.2|2.1,,8.1.2,,,Unspecified SALMONIDAE,,,,,Ongoing,,42845
1.2,,8.1.2,,,Unspecified Pinus,,,,,"Past, Unlikely to Return",,4730
1.1|1.2,,2.3.4,,,,,,,,Ongoing,,4731
