assessment_id,credit_type,internal_taxon_id,text
11730010,Assessor,58174,"Tinsley, R., Minter, L., Measey, J., Howell, K., Veloso, A., Núñez, H. & Romano, A."
11730010,Reviewer,58174,"Cox, N. & Temple, H.J. (Global Amphibian Assessment)"
11730010,Contributor,58174,
